,Faculty of MASSCOM and FSSR,Fakulti Sains Komputer & Matematik 1,Fakulti Sains Komputer & Matematik 2,Kolej Melati,Kolej Mawar,Block B Faculty Of Applied Sciences,Kolej Seroja,Block C Faculty Of Applied Sciences,Kolej Delima 1,Kolej Delima 3,Kolej Delima 2 (Pusat Kokurikulum),Faculty of Art and Design,Perpustakaan Tun Abdul Razak 1,Taska UiTM Shah Alam,Dewan Platinum Kolej Melati,Dewan Mawar Qaseh,Unit Bengkel Kenderaan UiTM Shah Alam,"Jabatan Pengurusan Perolehan & Aset, Pejabat Bendahari UiTM Shah Alam",Akademi Pengajian Bahasa,Pintu Seksyen 2,Dataran Cendekiawan,Kolej Anggerik,Makmal Fakulti Kejuruteraan Kimia,Kompleks Kolam Renang UiTM Shah Alam,Fakulti Undang-Undang,Masjid Al-Wathiqu Billah Tuanku Mizan Zainal Abidin,Parking Canseleri,Canseleri Tuanku Syed Sirajuddin,Kompleks Kejuruteraan Elektrikal,Fakulti Kejuruteraan Kimia,Kompleks Sukan UiTM Shah Alam,Kolej Perindu,Pusat Kokurikulum,Ibu Pejabat Polis Bantuan UiTM,Kolej Teratai 2,kolej Teratai,Kolej Teratai 3,Kolej Delima 2 (PB),UiTM Facilities Center,Faculty of Civil Engineering,Dewan Sri Budiman,Dewan Annexe,Menara Sultan Abdul Aziz Shah,Bahagian Pembangunan Organisasi,Jabatan Sain Ukur dan Geomatik,DKB,Block A Faculty of Applied Science,Block A Faculty Of Applied Sciences,DK Beta,DK Alfa,DK Delta,DK Gamma & DK Bestari,Block F Faculty Of Applied Sciences,irmi,Malaysian Institut Transport,MITRAN,National Design Centre,Budisiswa,Bangunan HEP,Faculty of Business,"Instititut Leadership, Quality",Ayub Arshad Graduate Business School,Gym Sport Recreation,Dewan Agung Tuanku Canselor,MTDC,Surau FSPU,AB1,AB3,AB2,Kafeteria Kolej Anggerik,Mamakteria Cafe,Pusat Kesihatan UiTM Shah Alam,Non Resident Office,Security Office,Register Office,Pos Polis Bantuan,Stor Sukan,Institut Pengajian Siswazah
Kolej Teratai 2,0.74778,0.49153,0.7072,0.28344,0.54967,1.1446,1.2557,1.17593,0.65244,0.36547,0.37421,2.06835,1.28395,0.40543,0.08277,0.13934,0.41411,0.42657,0.87842,1.20868,0.0421,1.14549,0.77366,0.49428,1.25293,0.95337,1.44022,1.339,0.59883,0.62163,0.4364,0.73617,0.36547,0.18464,0,0.42401,0.18464,0.28995,1.24119,0.37416,1.52526,1.58263,1.76342,1.66285,1.14357,1.76342,1.22452,1.3017,1.22452,1.22452,1.13819,1.1586,0.9643,1.08482,1.14357,1.14357,2.06835,1.30158,1.38093,1.11786,1.0603,1.24459,1.01057,1.04848,1.30306,1.22486,1.15164,1.15164,1.15164,1.0218,0.73292,0.64582,0.11802,1.42673,1.48095,0.84327,1.08482,1.23463
Kolej Teratai,0.49476,0.23852,0.49072,0.65417,0.96547,1.33862,1.44972,1.36995,0.22844,0.55949,0.56823,2.26237,1.47797,0.15242,0.35216,0.55514,0.82991,0.84237,1.29422,0.95567,0.46465,1.56129,1.18946,0.07028,1.44695,1.14739,1.1872,1.08598,0.58151,0.66024,0.63042,0.93019,0.55949,0.39955,0.42401,0,0.39955,0.14498,1.43521,0.74489,1.71928,1.77664,1.95744,1.85687,1.33759,1.95744,1.41854,1.49571,1.41854,1.41854,1.33221,1.35262,1.15832,1.27883,1.33759,1.33759,2.26237,1.49559,1.57495,1.31188,1.25432,1.43861,1.20459,1.2425,1.71114,1.64066,1.56744,1.56744,1.56744,1.4376,1.14872,1.06162,0.33294,1.62074,1.67497,1.25907,1.27883,1.42864
Kolej Teratai 3,0.7643,0.50805,0.76026,0.40387,0.7267,1.12015,1.23125,1.15148,0.62799,0.34101,0.34976,2.0439,1.2595,0.42195,0.10186,0.31638,0.59114,0.6036,1.05546,1.2252,0.21435,1.32252,0.9507,0.46983,1.22848,0.92892,1.45674,1.35552,0.71926,0.74207,0.41195,0.71172,0.34101,0,0.18464,0.39955,0,0.30904,1.21674,0.4946,1.50081,1.55817,1.73897,1.6384,1.11912,1.73897,1.20007,1.27724,1.20007,1.20007,1.11374,1.13415,0.93985,1.06036,1.11912,1.11912,2.0439,1.27712,1.35648,1.0934,1.03584,1.22014,0.98612,1.02402,1.48009,1.4019,1.32868,1.32868,1.32868,1.19883,0.90996,0.82286,0.06661,1.40227,1.4565,1.02031,1.06036,1.21017
Kolej Delima 2 (PB),0.45783,0.20158,0.45379,0.50919,0.83962,1.29596,1.40707,1.32729,0.37341,0.51683,0.52558,2.21971,1.43532,0.11548,0.20718,0.42929,0.70406,0.71652,1.16837,0.91873,0.31967,1.43544,1.06361,0.21526,1.4043,1.10473,1.15026,1.04905,0.54457,0.6233,0.58777,0.88754,0.51683,0.30904,0.28995,0.14498,0.30904,0,1.39255,0.59991,1.67662,1.73399,1.91479,1.81422,1.29494,1.91479,1.37588,1.45306,1.37588,1.37588,1.28955,1.30996,1.11566,1.23618,1.29494,1.29494,2.21971,1.45294,1.5323,1.26922,1.21166,1.39596,1.16193,1.19984,1.59301,1.51481,1.4416,1.4416,1.4416,1.31175,1.02287,0.93577,0.24243,1.57809,1.63232,1.13322,1.23618,1.38599
UiTM Facilities Center,1.79995,1.5437,1.79591,1.48739,1.78265,0.70508,0.73967,0.73641,1.66364,1.17172,0.86698,1.55231,0.99229,1.45761,1.18538,1.37232,1.64709,1.65955,2.01178,1.2695,1.28329,1.90477,2.00664,1.50549,0.96127,0.28782,1.71719,1.61597,1.80277,1.82558,1.28793,0.64819,1.17172,1.21674,1.24119,1.43521,1.21674,1.39255,0,1.57811,1.13924,1.1966,1.24739,1.14682,0.70405,1.24739,0.78499,0.86217,0.78499,0.78499,0.69866,0.71908,0.52478,0.64529,0.70405,0.70405,1.55231,1.00991,1.08927,0.82619,0.76863,0.95293,0.92258,0.96049,1.42913,1.80958,1.91093,1.91093,1.91093,1.78108,1.9659,1.8788,1.15012,1.33874,0.96492,2.07625,0.64529,1.03974
Faculty of Civil Engineering,0.70751,0.72952,0.59,0.4382,0.58912,1.48152,1.59263,1.51285,0.97333,0.70239,0.71113,2.40527,1.62087,0.71539,0.39273,0.30431,0.44468,0.45714,0.91176,1.26803,0.33206,1.17883,0.81311,0.81517,1.58985,1.29029,1.49956,1.39834,0.48162,0.50214,0.77332,1.0731,0.70239,0.4946,0.37416,0.74489,0.4946,0.59991,1.57811,0,1.86218,1.91955,2.10034,1.99977,1.48049,2.10034,1.56144,1.63861,1.56144,1.56144,1.47511,1.49552,1.30122,1.42174,1.48049,1.48049,2.40527,1.6385,1.71785,1.45478,1.39722,1.58151,1.34749,1.3854,1.3364,1.2582,1.18498,1.18498,1.18498,1.05514,0.7635,0.68527,0.42798,1.47168,1.81787,0.87661,1.42174,1.57155
Dewan Sri Budiman,1.77767,1.76447,1.85032,1.77146,2.06672,0.66718,0.55404,0.69851,1.94771,1.4558,1.15105,0.81649,0.24131,1.74168,1.46945,1.6564,1.93116,1.94362,2.15268,1.01447,1.56736,2.04567,2.29072,1.78956,0.54248,0.85142,1.46216,1.36094,1.94111,2.00754,1.572,0.78909,1.4558,1.50081,1.52526,1.71928,1.50081,1.67662,1.13924,1.86218,0,0.05736,0.55413,0.45356,0.78142,0.55413,0.7471,0.82427,0.7471,0.7471,0.66077,0.68118,0.80471,0.61788,0.78142,0.78142,0.81649,0.25893,0.50092,0.4074,0.46496,0.64926,1.06348,1.10139,1.57003,1.95048,2.05183,2.05183,2.05183,1.92198,2.24998,2.16287,1.4342,1.47964,0.64046,2.26836,0.61788,0.84602
Dewan Annexe,1.83504,1.82183,1.90769,1.82882,2.12409,0.72454,0.6114,0.75587,2.00508,1.51316,1.20841,0.87386,0.29867,1.79904,1.52681,1.71376,1.98853,2.00099,2.21004,1.07183,1.62473,2.10304,2.34808,1.84692,0.59984,0.90878,1.51953,1.41831,1.99848,2.06491,1.62936,0.84645,1.51316,1.55817,1.58263,1.77664,1.55817,1.73399,1.1966,1.91955,0.05736,0,0.61149,0.51092,0.83878,0.61149,0.80446,0.88164,0.80446,0.80446,0.71813,0.73854,0.86207,0.67524,0.83878,0.83878,0.87386,0.31629,0.55828,0.46477,0.52233,0.70663,1.12084,1.15875,1.62739,2.00785,2.10919,2.10919,2.10919,1.97935,2.30734,2.22024,1.49156,1.537,0.69782,2.32572,0.67524,0.90339
Menara Sultan Abdul Aziz Shah,1.88582,1.87262,1.95847,2.00962,2.30489,1.08017,0.66219,1.1115,2.18588,1.69396,1.38921,0.9672,0.6543,1.97984,1.70761,1.89456,2.16933,2.18178,2.53401,1.12262,1.80552,2.42701,2.52888,2.02772,0.95547,0.95957,1.57031,1.46909,2.04926,2.11569,1.81016,1.17042,1.69396,1.73897,1.76342,1.95744,1.73897,1.91479,1.24739,2.10034,0.55413,0.61149,0,0.24858,0.88957,0,1.16009,1.23727,1.16009,1.16009,1.07376,1.09417,0.91286,0.72602,0.88957,0.88957,0.9672,0.67192,0.91391,0.8204,0.87796,1.06225,1.44481,1.48272,1.95136,2.33182,2.43316,2.43316,2.43316,2.30332,2.48814,2.40104,1.67236,1.86097,0.74861,2.59849,0.72602,1.25902
Bahagian Pembangunan Organisasi,1.78525,1.77204,1.8579,1.90905,2.20431,0.9796,0.56162,1.01093,2.08531,1.59339,1.28864,0.86663,0.55373,1.87927,1.60704,1.79399,2.06875,2.08121,2.43344,1.02205,1.70495,2.32644,2.42831,1.92715,0.8549,0.859,1.46974,1.36852,1.94869,2.01512,1.70959,1.06985,1.59339,1.6384,1.66285,1.85687,1.6384,1.81422,1.14682,1.99977,0.45356,0.51092,0.24858,0,0.78899,0.24858,1.05952,1.13669,1.05952,1.05952,0.97319,0.9936,0.81229,0.62545,0.78899,0.78899,0.86663,0.57135,0.81334,0.71982,0.77739,0.96168,1.34424,1.38215,1.85079,2.23125,2.33259,2.33259,2.33259,2.20275,2.38757,2.30046,1.57179,1.7604,0.64803,2.49792,0.62545,1.15844
