,Faculty of MASSCOM and FSSR,Fakulti Sains Komputer & Matematik 1,Fakulti Sains Komputer & Matematik 2,Kolej Melati,Kolej Mawar ,Block B Faculty Of Applied Sciences,Kolej Seroja,Block C Faculty Of Applied Sciences,Kolej Delima 1,Kolej Delima 3,Kolej Delima 2 (Pusat Kokurikulum),Faculty of Art and Design,Perpustakaan Tun Abdul Razak 1,Taska UiTM Shah Alam,Dewan Platinum Kolej Melati,Dewan Mawar Qaseh,Unit Bengkel Kenderaan UiTM Shah Alam,"Jabatan Pengurusan Perolehan & Aset, Pejabat Bendahari UiTM Shah Alam",Akademi Pengajian Bahasa,Pintu Seksyen 2,Dataran Cendekiawan,Kolej Anggerik,Makmal Fakulti Kejuruteraan Kimia,Kompleks Kolam Renang UiTM Shah Alam,Fakulti Undang-Undang,Masjid Al-Wathiqu Billah Tuanku Mizan Zainal Abidin,Parking Canseleri,Canseleri Tuanku Syed Sirajuddin,Kompleks Kejuruteraan Elektrikal,Fakulti Kejuruteraan Kimia,Hotel UiTM Shah Alam,Kompleks Sukan UiTM Shah Alam,Kolej Perindu,Pusat Kokurikulum,Ibu Pejabat Polis Bantuan UiTM,Kolej Teratai 2,kolej Teratai,Kolej Teratai 3,Kolej Delima 2 (PB),UiTM Facilities Center,Faculty of Civil Engineering,Dewan Sri Budiman,Dewan Annexe,Menara Sultan Abdul Aziz Shah,Bahagian Pembangunan Organisasi,Jabatan Sain Ukur dan Geomatik,DKB,Block A Faculty of Applied Science,Block A Faculty Of Applied Sciences,DK Beta,DK Alfa,DK Delta,DK Gamma & DK Bestari,Block F Faculty Of Applied Sciences,irmi,Malaysian Institut Transport,MITRAN,National Design Centre,Budisiswa,Bangunan HEP,Faculty of Business,"Instititut Leadership, Quality",Ayub Arshad Graduate Business School,Gym Sport Recreation,Dewan Agung Tuanku Canselor,MTDC,Surau FSPU,AB1,AB3,AB2,Kafeteria Kolej Anggerik,Mamakteria Cafe,Pusat Kesihatan UiTM Shah Alam,Non Resident Office,Security Office,Register Office,Pos Polis Bantuan,Stor Sukan,Institut Pengajian Siswazah
Dewan Agung Tuanku Canselor,1.410163874,1.25470044,1.482812256,1.294673773,1.442953348,0.728686845,0.954681527,0.760016057,1.470932191,0.979013131,0.674263577,1.76732466,0.860081781,1.196766378,0.992663396,1.276179378,1.454380489,1.466839665,1.35490448,1.416504435,1.090576217,1.247900204,1.446816198,1.312773084,0.829060608,0.65234391,1.635049042,1.533832107,1.573601369,1.632869155,1.235579076,1.095216437,0.312301567,0.979013131,1.024024236,1.048477407,1.242495854,1.024024236,1.174721175,0.9324823,1.385399137,1.1013864,1.156733873,1.462398541,1.361827068,0.842548205,1.462398541,0.808604921,0.885781002,0.808604921,0.808604921,0.722274537,0.742687169,0.663273075,0.783789576,0.842548205,0.842548205,1.76732466,0.877702563,0.957059023,0.693985374,0.63642395,0.820721555,0.265706407,0,0.91462564,1.152710624,1.254058213,1.254058213,1.254058213,1.124212218,1.52912168,1.4829917,0.957412994,0.68186513,1.179931371,1.455930043,0.783789576,0.495470892
MTDC,1.586176548,1.258112186,1.582133383,1.273610113,1.129544924,1.339697476,1.565692159,1.371026688,1.44986853,0.957949471,0.872045353,2.378335291,1.471092413,1.243830243,0.971599736,1.218875605,1.081989265,1.305510236,0.725017052,1.850486074,1.069512557,0.618012776,0.816928769,1.291709424,1.440071239,1.263354542,2.069030681,1.967813747,1.588999458,1.611805495,1.846589707,1.074152777,0.923312199,0.957949471,1.002960576,1.027413747,1.221432194,1.002960576,1.153657515,1.505143885,1.364335477,1.712397032,1.767744505,2.073409172,1.972837699,1.453558837,2.073409172,1.419615553,1.496791633,1.419615553,1.419615553,1.333285168,1.3536978,1.274283706,1.394800207,1.453558837,1.453558837,2.378335291,1.488713195,1.568069654,1.304996005,1.247434581,1.431732187,0.648919233,0.91462564,0,0.522823196,0.624170785,0.624170785,0.624170785,0.494324789,0.899234252,0.853104271,0.936349334,0.277655206,1.790942002,0.826042615,1.394800207,0.878683718
Surau FSPU,1.767339897,1.448789069,1.649819719,1.337631012,0.908983867,1.57778246,1.803777143,1.609111672,1.646351339,1.154432279,1.068528162,2.616420275,1.709177397,1.434507126,1.13696842,0.998314548,0.861428208,1.084949179,0.504455995,2.041162958,1.096293298,0.427258534,0.596367712,1.488192232,1.678156223,1.501439526,2.259707564,2.15849063,1.541449252,1.564255288,2.084674691,1.270635585,1.161397183,1.154432279,1.199443384,1.054194488,1.417915002,1.199443384,1.319026199,1.695820769,1.258200453,1.950482016,2.005829489,2.311494156,2.210922684,1.691643821,2.311494156,1.657700537,1.734876618,1.657700537,1.657700537,1.571370152,1.591782784,1.51236869,1.632885191,1.691643821,1.691643821,2.616420275,1.726798179,1.806154639,1.543080989,1.485519565,1.669817171,0.887004217,1.152710624,0.522823196,0,0.433416542,0.433416542,0.433416542,0.303570547,0.678673195,0.632543214,1.132832142,0.515740191,2.029026987,0.605481558,1.632885191,1.116768702
AB1,1.693569112,1.36550475,1.57659973,1.254346693,0.835763878,1.679130049,1.905124732,1.710459261,1.608274909,1.255779868,1.16987575,2.717767864,1.810524986,1.351222807,1.053684101,0.915030229,0.788208219,1.01172919,0.431236006,1.957878639,1.013008979,0.143288625,0.513083393,1.450115802,1.779503812,1.602787115,2.176423245,2.075206311,1.468229263,1.491035299,2.18602228,1.371983174,1.262744772,1.255779868,1.141075433,0.970910169,1.379838572,1.141075433,1.23574188,1.61253645,1.184980464,2.051829605,2.107177078,2.412841745,2.312270272,1.79299141,2.412841745,1.759048126,1.836224206,1.759048126,1.759048126,1.672717741,1.693130373,1.613716279,1.73423278,1.79299141,1.79299141,2.717767864,1.828145768,1.907502227,1.644428578,1.586867154,1.77116476,0.988351806,1.254058213,0.624170785,0.433416542,0,0,0,0.129845995,0.605453206,0.559323225,1.074464191,0.617087779,2.130374575,0.532261569,1.73423278,1.218116291
AB3,1.693569112,1.36550475,1.57659973,1.254346693,0.835763878,1.679130049,1.905124732,1.710459261,1.608274909,1.255779868,1.16987575,2.717767864,1.810524986,1.351222807,1.053684101,0.915030229,0.788208219,1.01172919,0.431236006,1.957878639,1.013008979,0.143288625,0.513083393,1.450115802,1.779503812,1.602787115,2.176423245,2.075206311,1.468229263,1.491035299,2.18602228,1.371983174,1.262744772,1.255779868,1.141075433,0.970910169,1.379838572,1.141075433,1.23574188,1.61253645,1.184980464,2.051829605,2.107177078,2.412841745,2.312270272,1.79299141,2.412841745,1.759048126,1.836224206,1.759048126,1.759048126,1.672717741,1.693130373,1.613716279,1.73423278,1.79299141,1.79299141,2.717767864,1.828145768,1.907502227,1.644428578,1.586867154,1.77116476,0.988351806,1.254058213,0.624170785,0.433416542,0,0,0,0.129845995,0.605453206,0.559323225,1.074464191,0.617087779,2.130374575,0.532261569,1.73423278,1.218116291
AB2,1.693569112,1.36550475,1.57659973,1.254346693,0.835763878,1.679130049,1.905124732,1.710459261,1.608274909,1.255779868,1.16987575,2.717767864,1.810524986,1.351222807,1.053684101,0.915030229,0.788208219,1.01172919,0.431236006,1.957878639,1.013008979,0.143288625,0.513083393,1.450115802,1.779503812,1.602787115,2.176423245,2.075206311,1.468229263,1.491035299,2.18602228,1.371983174,1.262744772,1.255779868,1.141075433,0.970910169,1.379838572,1.141075433,1.23574188,1.61253645,1.184980464,2.051829605,2.107177078,2.412841745,2.312270272,1.79299141,2.412841745,1.759048126,1.836224206,1.759048126,1.759048126,1.672717741,1.693130373,1.613716279,1.73423278,1.79299141,1.79299141,2.717767864,1.828145768,1.907502227,1.644428578,1.586867154,1.77116476,0.988351806,1.254058213,0.624170785,0.433416542,0,0,0,0.129845995,0.605453206,0.559323225,1.074464191,0.617087779,2.130374575,0.532261569,1.73423278,1.218116291
Kafeteria Kolej Anggerik,1.563723117,1.235658755,1.446753735,1.124500698,0.705917883,1.549284054,1.775278737,1.580613266,1.478428914,1.125933873,1.040029755,2.587921869,1.680678991,1.221376812,0.923838106,0.785184234,0.658362224,0.881883195,0.301390011,1.828032644,0.883162984,0.123687987,0.383237398,1.320269807,1.649657817,1.472941119,2.04657725,1.945360316,1.338383268,1.361189304,2.056176285,1.242137179,1.132898777,1.125933873,1.011229438,0.841064174,1.249992577,1.011229438,1.105895885,1.482690454,1.055134469,1.92198361,1.977331083,2.28299575,2.182424277,1.663145415,2.28299575,1.629202131,1.706378211,1.629202131,1.629202131,1.542871746,1.563284378,1.483870284,1.604386785,1.663145415,1.663145415,2.587921869,1.698299773,1.777656232,1.514582583,1.457021159,1.641318764,0.858505811,1.124212218,0.494324789,0.303570547,0.129845995,0.129845995,0.129845995,0,0.47560721,0.42947723,0.944618196,0.487241784,2.00052858,0.402415574,1.604386785,1.088270296
Mamakteria Cafe,1.231148473,1.067880356,1.113628295,0.828306465,0.38411035,1.782483466,1.893590411,1.813812678,1.310650514,1.023674731,1.032421351,2.706233543,1.942163575,1.053598413,0.756059706,0.617405835,0.277323744,0.548757754,0.251843046,1.660254244,0.661752669,0.599295197,0.215458999,1.152491408,1.911142401,1.579150314,1.878798851,1.777581917,1.005257827,1.028063864,2.174487959,1.0946103,1.39438336,1.023674731,0.843451039,0.673285775,1.082214178,0.843451039,0.938117485,1.314912055,0.722009028,2.183468194,2.238815667,2.401307424,2.300735951,1.781457089,2.401307424,1.862401543,1.939577624,1.862401543,1.862401543,1.776071158,1.79648379,1.602181958,1.722698459,1.781457089,1.781457089,2.706233543,1.959784357,2.039140816,1.776067167,1.718505743,1.902803348,1.263415273,1.52912168,0.899234252,0.678673195,0.605453206,0.605453206,0.605453206,0.47560721,0,0.11879493,0.776839797,0.892151247,2.118840254,0.231766322,1.722698459,1.493179758
Pusat Kesihatan UiTM Shah Alam,1.194405761,0.949085426,1.076885584,0.782693226,0.329946174,1.663688536,1.77479548,1.695017748,1.191855584,0.904879801,0.91362642,2.587438613,1.823368644,0.934803483,0.637264776,0.498610904,0.29320804,0.516729011,0.262161083,1.541459314,0.596589655,0.553165217,0.096664069,1.033696477,1.79234747,1.460355383,1.760003921,1.658786986,0.968515116,0.991321152,2.055693029,0.975815369,1.27558843,0.904879801,0.724656109,0.554490844,0.963419247,0.724656109,0.819322555,1.196117125,0.685266317,2.064673263,2.120020736,2.282512494,2.181941021,1.662662158,2.282512494,1.743606612,1.820782693,1.743606612,1.743606612,1.657276228,1.67768886,1.483387028,1.603903529,1.662662158,1.662662158,2.587438613,1.840989426,1.920345886,1.657272237,1.599710812,1.784008418,1.217285293,1.4829917,0.853104271,0.632543214,0.559323225,0.559323225,0.559323225,0.42947723,0.11879493,0,0.658044866,0.846021266,2.000045324,0.250956712,1.603903529,1.447049778
Non Resident Office,0.675135413,0.347071051,0.671092248,0.337260779,0.513108218,1.033211533,1.144318477,1.064540745,0.561378581,0.274402798,0.283149417,1.95696161,1.192891641,0.332789108,0.035250402,0.346334247,0.524535358,0.536994534,0.796805036,0.93944494,0.147742365,1.068306183,0.561380798,0.403219474,1.161870467,0.84198086,1.157989546,1.056772612,0.652650124,0.675456161,1.425216026,0.345338366,0.645111427,0.274402798,0.066611242,0.118024333,0.332942244,0.066611242,0.217308181,0.59410275,0.427986143,1.43419626,1.489543733,1.652035491,1.551464018,1.032185155,1.652035491,1.113129609,1.19030569,1.113129609,1.113129609,1.026799225,1.047211857,0.852910025,0.973426526,1.032185155,1.032185155,1.95696161,1.210512423,1.289868883,1.026795234,0.969233809,1.153531415,0.919504392,0.957412994,0.936349334,1.132832142,1.074464191,1.074464191,1.074464191,0.944618196,0.776839797,0.658044866,0,0.725286565,1.369568321,0.803916518,0.973426526,1.143560546
